"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00090010","ABBEVILLE, GA US","1990-06-06","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-07","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-08","0.75",,
"USC00090010","ABBEVILLE, GA US","1990-06-09","1.11",,
"USC00090010","ABBEVILLE, GA US","1990-06-10","0.14",,
"USC00090010","ABBEVILLE, GA US","1990-06-11","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-12","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-13","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-14","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-15","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-16","0.58",,
"USC00090010","ABBEVILLE, GA US","1990-06-17","0.40",,
"USC00090010","ABBEVILLE, GA US","1990-06-18","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-19","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-20","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-21","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-22","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-23","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-24","0.01",,
"USC00090010","ABBEVILLE, GA US","1990-06-25","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-26","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-27","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-28","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-29","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-06-30","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-07-01","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-07-02","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-07-03","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-07-04","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-07-05","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-07-06","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-07-07","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-07-08","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-07-09","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-07-10","0.15",,
"USC00090010","ABBEVILLE, GA US","1990-07-11","0.03",,
"USC00090010","ABBEVILLE, GA US","1990-07-12","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-07-13","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-07-14","0.22",,
"USC00090010","ABBEVILLE, GA US","1990-07-15","0.24",,
"USC00090010","ABBEVILLE, GA US","1990-07-16","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-07-17","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-07-18","0.36",,
"USC00090010","ABBEVILLE, GA US","1990-07-19","0.41",,
"USC00090010","ABBEVILLE, GA US","1990-07-20","0.02",,
"USC00090010","ABBEVILLE, GA US","1990-07-21","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-07-22","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-07-23","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-07-24","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-07-25","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-07-26","1.75",,
"USC00090010","ABBEVILLE, GA US","1990-07-27","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-07-28","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-07-29","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-07-30","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-07-31","0.00",,
